Service Code,Dept or Currency Code,Dept or Currency Desc,Activity,Unit cost,Cost
Elective Inpatients,AA35A , Stroke with CC Score 16+,878,10544.1835,9257793.08
Elective Inpatients,AA35B , Stroke with CC Score 13-15,437,10850.5606,4741694.975
Elective Inpatients,AA35C , Stroke with CC Score 10-12,431,7558.5634,3257740.818
Elective Inpatients,AA35D , Stroke with CC Score 7-9,337,6011.7286,2025952.532
Elective Inpatients,AA35E , Stroke with CC Score 4-6,280,4179.3933,1170230.114
Elective Inpatients,AA35F , Stroke with CC Score 0-3,252,9010.6545,2270684.923
Elective Inpatients,AA43A ," Sleep Disorders, excluding Sleep Apnoea, with CC Score 2+",994,929.0322,923458.0069
Elective Inpatients,AA43B ," Sleep Disorders, excluding Sleep Apnoea, with CC Score 0-1",869,1006.0897,874291.9608
Elective Inpatients,AA50A ," Very Complex Intracranial Procedures, 19 years and over, with CC Score 12+",317,35390.9347,11218926.29
Elective Inpatients,AA50B ," Very Complex Intracranial Procedures, 19 years and over, with CC Score 6-11",401,21067.2551,8447969.3
Elective Inpatients,AA50C ," Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",392,17840.0841,6993312.972
Elective Inpatients,AA50D ," Very Complex Intracranial Procedures, 18 years and under, with CC Score 12+",70,31874.9222,2231244.556
Elective Inpatients,AA50E ," Very Complex Intracranial Procedures, 18 years and under, with CC Score 6-11",61,25663.0869,1565448.301
Elective Inpatients,AA50F ," Very Complex Intracranial Procedures, 18 years and under, with CC Score 0-5",106,15539.9023,1647229.643
Elective Inpatients,AA51A ," Complex Intracranial Procedures, 19 years and over, with CC Score 12+",378,23436.6302,8859046.222
Elective Inpatients,AA51B ," Complex Intracranial Procedures, 19 years and over, with CC Score 8-11",497,16068.8177,7986202.412
Elective Inpatients,AA51C ," Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",847,14423.9743,12217106.24
Elective Inpatients,AA51D ," Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",645,13140.5493,8475654.316
Elective Inpatients,AA51E ," Complex Intracranial Procedures, 18 years and under, with CC Score 8+",98,18083.8723,1772219.485
Elective Inpatients,AA51F ," Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",91,15078.4452,1372138.514
Elective Inpatients,AA51G ," Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",219,14483.9244,3171979.438
Elective Inpatients,AA52A ," Very Major Intracranial Procedures, 19 years and over, with CC Score 12+",610,19140.1845,11675512.53
Elective Inpatients,AA52B ," Very Major Intracranial Procedures, 19 years and over, with CC Score 8-11",807,14608.5592,11789107.26
Elective Inpatients,AA52C ," Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",1222,12415.3761,15171589.57
Elective Inpatients,AA52D ," Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",839,12129.884,10176972.68
Elective Inpatients,AA52E ," Very Major Intracranial Procedures, 18 years and under, with CC Score 8+",172,13026.4607,2240551.242
Elective Inpatients,AA52F ," Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",125,11335.4294,1416928.681
Elective Inpatients,AA52G ," Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",176,10267.3313,1807050.31
Elective Inpatients,AA53A ," Major Intracranial Procedures, 19 years and over, with CC Score 12+",376,16645.706,6258785.452
Elective Inpatients,AA53B ," Major Intracranial Procedures, 19 years and over, with CC Score 8-11",651,12326.9512,8024845.22
Elective Inpatients,AA53C ," Major Intracranial Procedures, 19 years and over, with CC Score 4-7",1169,11037.1741,12902456.47
Elective Inpatients,AA53D ," Major Intracranial Procedures, 19 years and over, with CC Score 0-3",1034,10844.9754,11213704.6
Elective Inpatients,AA53E ," Major Intracranial Procedures, 18 years and under, with CC Score 8+",85,13400.2673,1139022.722
Elective Inpatients,AA53F ," Major Intracranial Procedures, 18 years and under, with CC Score 4-7",130,10515.3163,1366991.123
Elective Inpatients,AA53G ," Major Intracranial Procedures, 18 years and under, with CC Score 0-3",318,9527.5038,3029746.222
Elective Inpatients,AA54A ," Intermediate Intracranial Procedures, 19 years and over, with CC Score 4+",486,7259.0077,3527877.728
Elective Inpatients,AA54B ," Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",127,6668.2652,846869.6813
Elective Inpatients,AA54C ," Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",116,5945.4722,689674.7783
Elective Inpatients,AA55A ," Minor Intracranial Procedures, 19 years and over, with CC Score 4+",71,7672.5652,544752.1289
Elective Inpatients,AA55B ," Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",31,4569.3498,141649.845
Elective Inpatients,AA55C ," Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",25,4885.3772,122134.4296
Elective Inpatients,AA56A ," Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 4+",87,8137.8749,707995.1184
Elective Inpatients,AA56B ," Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",99,8241.2506,815883.8052
Elective Inpatients,AA57A ," Minimal Intracranial Procedures, 19 years and over",165,3339.9439,551090.7485
Elective Inpatients,AA57B ," Minimal Intracranial Procedures, 18 years and under",50,4071.6108,203580.538
Elective Inpatients,AA60A ," Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",796,10772.7853,8575137.093
Elective Inpatients,AA60B ," Insertion of Neurostimulator for Treatment of Neurological Conditions, 18 years and under",124,12726.2684,1578057.282
Elective Inpatients,AA61A ," Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 19 years and over",449,4801.8846,2156046.191
Elective Inpatients,AA61B ," Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 18 years and under",30,7778.152,233344.5594
Elective Inpatients,AA70Z , Stereotactic Intracranial Radiosurgery for Arteriovenous Malformations,290,5116.1813,1483692.573
Elective Inpatients,AA71A ," Stereotactic Intracranial Radiosurgery, for Neoplasms or Other Neurological Conditions, with CC Score 4+",98,8122.1249,795968.2371
Elective Inpatients,AA71B ," Stereotactic Intracranial Radiosurgery, for Neoplasms or Other Neurological Conditions, with CC Score 0-3",71,5873.0045,416983.3171
Elective Inpatients,AA80Z , Complex Long-Term EEG Monitoring,2966,4563.3688,13534951.87
Elective Inpatients,AA81Z , Standard Long-Term EEG Monitoring,35,2629.411,92029.3834
Elective Inpatients,AA82Z ," Intracranial Telemetry, with Cortical Mapping or Resection of Brain",143,21328.5231,3049978.802
Elective Inpatients,AA83Z , Intracranial Telemetry,72,26747.15,1925794.798
Elective Inpatients,AB12Z , Insertion of Neurostimulator for Pain Management,324,8354.9391,2707000.253
Elective Inpatients,AB13Z , Insertion of Intrathecal Drug Delivery Device for Pain Management,64,6411.0378,410306.4176
Elective Inpatients,AB14Z , Insertion of Neurostimulator Electrodes for Pain Management,97,8207.7267,796149.4928
Elective Inpatients,AB15Z ," Radiofrequency Ablation or Cryoablation, for Pain Management",65,2056.7607,133689.4424
Elective Inpatients,AB16Z ," Denervation or Injection around Spinal Facet, for Pain Management",241,1205.0853,290425.5669
Elective Inpatients,AB18Z , Continuous Infusion of Therapeutic Substance for Pain Management,293,1330.391,389804.5544
Elective Inpatients,AB20Z , Epidural Under Image Control for Pain Management,665,1377.9874,916361.6091
Elective Inpatients,AB21Z ," Epidural or Therapeutic Spinal Puncture, for Pain Management",82,1066.8269,87479.8073
Elective Inpatients,AB22Z , Trigger Point Injection for Pain Management,26,1376.5229,35789.5953
Elective Inpatients,AB24Z , Alteration of Function of Nerve for Pain Management,68,947.9261,64458.9724
Elective Inpatients,AB25Z ," Nerve Block or Destruction of Nerve, Under Image Control, for Pain Management",71,1313.9487,93290.3594
Elective Inpatients,AB26Z ," Nerve Block or Destruction of Nerve, for Pain Management",73,4225.3531,308450.7764
Elective Inpatients,AB27Z , Injection of Therapeutic Substance into Joint Under Image Control for Pain Management,147,1329.1056,195378.5288
Elective Inpatients,AB28Z , Injection of Therapeutic Substance into Joint for Pain Management,37,1464.6896,54193.5137
Elective Inpatients,BZ24D , Non-Surgical Ophthalmology with Interventions,63,5852.2234,368690.0729
Elective Inpatients,BZ24E ," Non-Surgical Ophthalmology without Interventions, with CC Score 5+",76,3483.5232,264747.7656
Elective Inpatients,BZ24F ," Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",261,1723.2325,449763.6731
Elective Inpatients,BZ24G ," Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",375,1809.194,678447.7409
Elective Inpatients,BZ30A ," Complex, Cataract or Lens Procedures, with CC Score 2+",81,3724.025,301646.0248
Elective Inpatients,BZ30B ," Complex, Cataract or Lens Procedures, with CC Score 0-1",45,3506.503,157792.6336
Elective Inpatients,BZ31A ," Very Major, Cataract or Lens Procedures, with CC Score 2+",306,3281.4628,1004127.618
Elective Inpatients,BZ31B ," Very Major, Cataract or Lens Procedures, with CC Score 0-1",215,2734.4914,587915.659
Elective Inpatients,BZ32A ," Intermediate, Cataract or Lens Procedures, with CC Score 2+",19,4175.4583,79333.7068
Elective Inpatients,BZ32B ," Intermediate, Cataract or Lens Procedures, with CC Score 0-1",44,3699.6484,162784.5303
Elective Inpatients,BZ33Z ," Minor, Cataract or Lens Procedures",112,905.1971,101382.075
Elective Inpatients,BZ34A ," Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 4+",352,3404.51,1198387.508
Elective Inpatients,BZ34B ," Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-3",659,2512.161,1655514.1
Elective Inpatients,BZ34C ," Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",1073,2314.696,2483668.815
Elective Inpatients,BZ35A ," Bilateral Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2+",87,5160.6809,448979.2399
Elective Inpatients,BZ35B ," Bilateral Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",61,5456.7061,332859.0712
Elective Inpatients,BZ40Z , Very Complex Oculoplastics Procedures,69,5979.4871,412584.6118
Elective Inpatients,BZ41A ," Complex Oculoplastics Procedures, 19 years and over, with CC Score 2+",90,4629.2946,416636.5111
Elective Inpatients,BZ41B ," Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1",128,4072.9509,521337.7173
Elective Inpatients,BZ42A ," Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",106,4434.6726,470075.2961
Elective Inpatients,BZ42B ," Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",173,3875.7578,670506.0981
Elective Inpatients,BZ43Z ," Complex or Very Major, Oculoplastics Procedures, 18 years and under",41,7495.8145,307328.393
Elective Inpatients,BZ44A ," Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",98,4156.2374,407311.2642
Elective Inpatients,BZ44B ," Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",156,3063.5757,477917.8142
Elective Inpatients,BZ44C ," Major Oculoplastics Procedures, 18 years and under",29,3477.8617,100857.9897
Elective Inpatients,BZ45A ," Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",103,2859.247,294502.4391
Elective Inpatients,BZ45B ," Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",182,2789.2781,507648.6062
Elective Inpatients,BZ45C ," Intermediate Oculoplastics Procedures, between 4 and 18 years",56,1853.3105,103785.3895
Elective Inpatients,BZ45D ," Intermediate Oculoplastics Procedures, 3 years and under",30,1999.8794,59996.3829
Elective Inpatients,BZ46A ," Minor Oculoplastics Procedures, 19 years and over",110,1424.3038,156673.4189
Elective Inpatients,BZ46B ," Minor Oculoplastics Procedures, 18 years and under",13,1889.5888,24564.6538
Elective Inpatients,BZ50Z ," Very Complex, Orbit or Lacrimal Procedures, 19 years and over",227,7418.2028,1683932.046
Elective Inpatients,BZ51A ," Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",417,6427.7043,2680352.683
Elective Inpatients,BZ51B ," Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",266,5893.4598,1567660.314
Elective Inpatients,BZ52Z ," Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under",59,7615.6898,449325.6969
Elective Inpatients,BZ53A ," Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",281,4851.1933,1363185.323
Elective Inpatients,BZ53B ," Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",144,4802.4043,691546.2258
Elective Inpatients,BZ54A ," Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",289,4852.8037,1402460.274
Elective Inpatients,BZ54B ," Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",245,4213.8122,1032384.001
Elective Inpatients,BZ55Z ," Very Major or Major, Orbit or Lacrimal Procedures, 18 years and under",79,9621.3151,760083.8966
Elective Inpatients,BZ56A ," Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",12,1975.136,23701.6316
Elective Inpatients,BZ56B ," Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",15,2527.2429,37908.6441
Elective Inpatients,BZ56C ," Intermediate, Orbit or Lacrimal Procedures, 18 years and under",15,2488.1453,37322.1789
Elective Inpatients,BZ57B ," Minor, Orbit or Lacrimal Procedures, 18 years and under",11,2485.039,27335.4289
Elective Inpatients,BZ60A ," Very Complex, Cornea or Sclera Procedures, with CC Score 2+",326,7212.7342,2351351.334
Elective Inpatients,BZ60B ," Very Complex, Cornea or Sclera Procedures, with CC Score 0-1",253,6324.6946,1600147.735
Elective Inpatients,BZ61A ," Complex, Cornea or Sclera Procedures, with CC Score 2+",472,4828.9016,2279241.552
Elective Inpatients,BZ61B ," Complex, Cornea or Sclera Procedures, with CC Score 0-1",459,4708.562,2161229.964
Elective Inpatients,BZ62A ," Very Major, Cornea or Sclera Procedures, with CC Score 1+",60,3904.1152,234246.9139
Elective Inpatients,BZ62B ," Very Major, Cornea or Sclera Procedures, with CC Score 0",54,3051.2151,164765.6178
Elective Inpatients,BZ63A ," Major, Cornea or Sclera Procedures, with CC Score 1+",38,3181.2797,120888.6273
Elective Inpatients,BZ63B ," Major, Cornea or Sclera Procedures, with CC Score 0",48,1433.5656,68811.1494
Elective Inpatients,BZ64A ," Intermediate, Cornea or Sclera Procedures, with CC Score 1+",18,1061.426,19105.6685
Elective Inpatients,BZ64B ," Intermediate, Cornea or Sclera Procedures, with CC Score 0",10,2133.6758,21336.7579
Elective Inpatients,BZ65Z ," Minor, Cornea or Sclera Procedures",12,2233.959,26807.5086
Elective Inpatients,BZ70Z , Complex Ocular Motility Procedures,31,4232.7912,131216.5262
Elective Inpatients,BZ71A ," Very Major Ocular Motility Procedures, 19 years and over",81,3759.9558,304556.4179
Elective Inpatients,BZ71B ," Very Major Ocular Motility Procedures, 18 years and under",35,4282.1142,149873.9981
Elective Inpatients,BZ72A ," Major Ocular Motility Procedures, 19 years and over",118,3773.5576,445279.797
Elective Inpatients,BZ72B ," Major Ocular Motility Procedures, between 4 and 18 years",129,4493.1624,579617.9559
Elective Inpatients,BZ72C ," Major Ocular Motility Procedures, 3 years and under",13,3394.6283,44130.1677
Elective Inpatients,BZ73A ," Intermediate Ocular Motility Procedures, 19 years and over",39,3232.9818,126086.2906
Elective Inpatients,BZ73B ," Intermediate Ocular Motility Procedures, 18 years and under",16,2618.239,41891.8247
Elective Inpatients,BZ80A ," Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",298,5410.4612,1612317.423
Elective Inpatients,BZ80B ," Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",264,5305.108,1400548.513
Elective Inpatients,BZ81A ," Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",621,4384.2518,2722620.351
Elective Inpatients,BZ81B ," Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",555,4395.0759,2439267.132
Elective Inpatients,BZ82Z ," Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under",136,7140.4427,971100.2094
Elective Inpatients,BZ83A ," Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",156,4423.4427,690057.0654
Elective Inpatients,BZ83B ," Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",199,3759.5891,748158.2356
Elective Inpatients,BZ84A ," Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",80,2905.1696,232413.5664
Elective Inpatients,BZ84B ," Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",116,3391.5377,393418.3755
Elective Inpatients,BZ85Z ," Very Major or Major, Vitreous Retinal Procedures, 18 years and under",134,4482.252,600621.7622
Elective Inpatients,BZ86A ," Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",152,1753.1515,266479.0252
Elective Inpatients,BZ86B ," Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",137,2820.253,386374.6671
Elective Inpatients,BZ86C ," Intermediate Vitreous Retinal Procedures, 18 years and under",38,2984.0751,113394.855
Elective Inpatients,BZ87A ," Minor Vitreous Retinal Procedures, 19 years and over",13,2322.7838,30196.1891
Elective Inpatients,BZ87B ," Minor Vitreous Retinal Procedures, between 4 and 18 years",18,2453.0322,44154.5792
Elective Inpatients,BZ87C ," Minor Vitreous Retinal Procedures, 3 years and under",37,2732.5135,101102.9994
Elective Inpatients,BZ90Z ," Very Complex, Glaucoma or Iris Procedures",247,5600.1958,1383248.363
Elective Inpatients,BZ91A ," Complex, Glaucoma or Iris Procedures, with CC Score 2+",173,4349.6555,752490.4039
Elective Inpatients,BZ91B ," Complex, Glaucoma or Iris Procedures, with CC Score 0-1",160,4021.3804,643420.8652
Elective Inpatients,BZ92A ," Very Major, Glaucoma or Iris Procedures, with CC Score 2+",105,4505.8528,473114.542
Elective Inpatients,BZ92B ," Very Major, Glaucoma or Iris Procedures, with CC Score 0-1",129,3806.9481,491096.3107
Elective Inpatients,BZ93A ," Major, Glaucoma or Iris Procedures, with CC Score 2+",60,3185.5899,191135.3933
Elective Inpatients,BZ93B ," Major, Glaucoma or Iris Procedures, with CC Score 0-1",54,3024.884,163343.737
Elective Inpatients,BZ94A ," Intermediate, Glaucoma or Iris Procedures, with CC Score 1+",50,2859.5233,142976.1642
Elective Inpatients,BZ95Z ," Minor, Glaucoma or Iris Procedures",32,1342.871,42971.8728
Elective Inpatients,CA01A ," Complex Neck Procedures, with CC Score 7+",265,33948.8428,8996443.334
Elective Inpatients,CA01B ," Complex Neck Procedures, with CC Score 3-6",293,23469.6777,6876615.565
Elective Inpatients,CA01C ," Complex Neck Procedures, with CC Score 0-2",153,20436.8138,3126832.506
Elective Inpatients,CA02A , Very Major Neck Procedures with CC Score 2+,1222,14336.4562,17519149.52
Elective Inpatients,CA02B , Very Major Neck Procedures with CC Score 0-1,361,12358.7097,4461494.209
Elective Inpatients,CA03A , Major Neck Procedures with CC Score 2+,2476,8301.5875,20554730.77
Elective Inpatients,CA03B , Major Neck Procedures with CC Score 0-1,1692,7196.7964,12176979.45
Elective Inpatients,CA04A ," Intermediate Neck Procedures, 19 years and over",688,5452.3724,3751232.202
Elective Inpatients,CA04B ," Intermediate Neck Procedures, 18 years and under",298,5454.6336,1625480.801
Elective Inpatients,CA05A ," Minor Neck Procedures, 19 years and over",447,4347.0792,1943144.416
Elective Inpatients,CA05B ," Minor, Head or Neck Procedures, 18 years and under",86,4343.6398,373553.0229
Elective Inpatients,CA10A ," Septorhinoplasty, 19 years and over",849,7199.7313,6112571.848
Elective Inpatients,CA10B ," Septorhinoplasty, 18 years and under",83,7831.2078,649990.2449
Elective Inpatients,CA11A ," Septoplasty, 19 years and over",1297,3539.2678,4590430.377
Elective Inpatients,CA11B ," Septoplasty, 18 years and under",39,3574.5612,139407.8871
Elective Inpatients,CA12Z , Major Treatment of Epistaxis,112,3067.6039,343571.6329
Elective Inpatients,CA13A ," Minor Treatment of Epistaxis, 19 years and over",92,1632.3891,150179.7979
Elective Inpatients,CA13B ," Minor Treatment of Epistaxis, 18 years and under",49,2441.1057,119614.1815
Elective Inpatients,CA14Z , Nasal Polypectomy,149,3810.6318,567784.1424
Elective Inpatients,CA15Z ," Excision or Biopsy, of Lesion of Internal Nose",130,2710.0793,352310.3087
Elective Inpatients,CA16Z ," Excision or Biopsy, of Lesion of External Nose",270,1555.48,419979.5979
Elective Inpatients,CA20Z , Complex Nose Procedures,367,6224.588,2284423.798
Elective Inpatients,CA21Z , Very Major Nose Procedures,422,5574.1852,2352306.153
Elective Inpatients,CA22Z , Major Nose Procedures,714,4344.7049,3102119.274
Elective Inpatients,CA23Z , Intermediate Nose Procedures,235,4214.5433,990417.6779
Elective Inpatients,CA24A ," Minor Nose Procedures, 19 years and over",195,2989.7079,582993.0484
Elective Inpatients,CA24B ," Minor Nose Procedures, 18 years and under",23,2656.2846,61094.5458
Elective Inpatients,CA25A ," Minimal Nose Procedures, 19 years and over",104,2223.9005,231285.6491
Elective Inpatients,CA25B ," Minimal Nose Procedures, 18 years and under",83,1603.6397,133102.0979
Elective Inpatients,CA26Z , Complex Sinus Procedures,278,7045.6005,1958676.942
Elective Inpatients,CA27Z , Major Sinus Procedures,522,5713.6684,2982534.885
Elective Inpatients,CA28Z , Intermediate Sinus Procedures,1084,4952.2082,5368193.652
Elective Inpatients,CA29Z , Minor Sinus Procedures,226,4433.1592,1001893.981
Elective Inpatients,CA30A ," Radical or Revisional, Mastoid Procedures, 19 years and over",477,7658.3698,3653042.387
Elective Inpatients,CA30B ," Radical or Revisional, Mastoid Procedures, 18 years and under",143,8470.6591,1211304.253
Elective Inpatients,CA31Z ," Simple or Cortical, Mastoid Procedures",170,8894.2662,1512025.251
Elective Inpatients,CA32A ," Tympanoplasty, 19 years and over",494,5055.7982,2497564.287
Elective Inpatients,CA32B ," Tympanoplasty, 18 years and under",211,5727.56,1208515.152
Elective Inpatients,CA33Z , Pinnaplasty,41,6143.2102,251871.6186
Elective Inpatients,CA34A ," Excision or Biopsy, of Lesion of External Ear, 19 years and over",281,1527.0803,429109.5566
Elective Inpatients,CA34B ," Excision or Biopsy, of Lesion of External Ear, 18 years and under",20,2657.0012,53140.0249
Elective Inpatients,CA35A ," Insertion of Grommets, 19 years and over",130,1934.9834,251547.8399
Elective Inpatients,CA35B ," Insertion of Grommets, between 2 and 18 years",223,2011.9135,448656.7159
Elective Inpatients,CA35C ," Insertion of Grommets, 1 year and under",12,3009.2532,36111.0387
Elective Inpatients,CA36A ," Clearance of External Auditory Canal, 19 years and over",62,416.4371,25819.1019
Elective Inpatients,CA36B ," Clearance of External Auditory Canal, 18 years and under",51,1141.1798,58200.1703
Elective Inpatients,CA38B ," Evoked Potential Recording, 18 years and under",66,2880.6301,190121.5857
Elective Inpatients,CA39Z , Fixture for Bone Anchored Hearing Aids,78,5521.8788,430706.5479
Elective Inpatients,CA40Z , Fitting of Bone Anchored Hearing Aids,22,5416.7211,119167.8647
Elective Inpatients,CA41Z , Bilateral Cochlear Implants,168,41290.1212,6936740.36
Elective Inpatients,CA42Z , Unilateral Cochlear Implant,446,24242.6634,10812227.89
Elective Inpatients,CA50Z , Complex Ear Procedures,475,9473.1769,4499759.045
Elective Inpatients,CA51A ," Very Major Ear Procedures, 19 years and over",379,7406.1838,2806943.678
Elective Inpatients,CA51B ," Very Major Ear Procedures, 18 years and under",155,7900.0042,1224500.648
Elective Inpatients,CA52A ," Major Ear Procedures, 19 years and over",378,4941.0334,1867710.619
Elective Inpatients,CA52B ," Major Ear Procedures, 18 years and under",51,7786.8471,397129.2016
Elective Inpatients,CA53A ," Intermediate Ear Procedures, 19 years and over",150,4349.6221,652443.3107
Elective Inpatients,CA53B ," Intermediate Ear Procedures, 18 years and under",75,3801.5799,285118.4889
Elective Inpatients,CA54A ," Minor Ear Procedures, 19 years and over",42,3675.1458,154356.1231
Elective Inpatients,CA54B ," Minor Ear Procedures, 18 years and under",26,1545.6887,40187.9051
Elective Inpatients,CA55A ," Minimal Ear Procedures, 19 years and over",93,1577.5035,146707.8228
Elective Inpatients,CA55B ," Minimal Ear Procedures, 18 years and under",58,2316.0579,134331.3577
Elective Inpatients,CA60C ," Tonsillectomy, 4 years and over",3318,3352.3724,11123171.72
Elective Inpatients,CA60D ," Tonsillectomy, 3 years and under",199,2951.8803,587424.1869
Elective Inpatients,CA61Z , Adenotonsillectomy,5132,3346.1209,17172292.62
Elective Inpatients,CA62Z , Adenoidectomy,592,2918.9371,1728010.759
Elective Inpatients,CA63Z , Tracheostomy,111,7897.5112,876623.7444
Elective Inpatients,CA64Z , Uvulopalatoplasty or Uvulopalatopharyngoplasty,45,4335.1019,195079.5863
Elective Inpatients,CA65Z , Frenotomy or Frenectomy,62,1353.4808,83915.8104
Elective Inpatients,CA66A ," Excision or Biopsy, of Lesion of Mouth, 19 years and over",1621,2093.9223,3394248.09
Elective Inpatients,CA66B ," Excision or Biopsy, of Lesion of Mouth, 18 years and under",70,3143.2084,220024.5872
Elective Inpatients,CA67A ," Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 2+",761,4362.4559,3319828.917
Elective Inpatients,CA67B ," Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1",320,3779.0623,1209299.923
Elective Inpatients,CA68A ," Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",601,3518.2888,2114491.556
Elective Inpatients,CA68B ," Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",431,4161.8084,1793739.433
Elective Inpatients,CA69A ," Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over",1075,2591.7452,2786126.065
Elective Inpatients,CA69B ," Diagnostic, Laryngoscopy or Pharyngoscopy, between 2 and 18 years",407,2593.3246,1055483.114
Elective Inpatients,CA69C ," Diagnostic, Laryngoscopy or Pharyngoscopy, 1 year and under",290,2712.0264,786487.647
Elective Inpatients,CA70Z , Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract,420,2832.6574,1189716.088
Elective Inpatients,CA71A ," Diagnostic Nasopharyngoscopy, 19 years and over",93,2405.8699,223745.9023
Elective Inpatients,CA80A ," Very Complex, Mouth or Throat Procedures, with CC Score 5+",574,30409.1227,17454836.43
Elective Inpatients,CA80B ," Very Complex, Mouth or Throat Procedures, with CC Score 2-4",399,19888.4354,7935485.74
Elective Inpatients,CA80C ," Very Complex, Mouth or Throat Procedures, with CC Score 0-1",179,15484.3263,2771694.414
Elective Inpatients,CA81A ," Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",323,9427.7162,3045152.322
Elective Inpatients,CA81B ," Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",94,6695.5882,629385.2896
Elective Inpatients,CA81C ," Complex, Mouth or Throat Procedures, between 2 and 18 years",210,6538.2071,1373023.486
Elective Inpatients,CA81D ," Complex, Mouth or Throat Procedures, 1 year and under",196,9353.9444,1833373.105
Elective Inpatients,CA82A ," Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",394,7408.2416,2918847.2
Elective Inpatients,CA82B ," Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",205,6101.0323,1250711.629
Elective Inpatients,CA82C ," Very Major, Mouth or Throat Procedures, between 2 and 18 years",400,6933.8686,2773547.444
Elective Inpatients,CA82D ," Very Major, Mouth or Throat Procedures, 1 year and under",658,8613.9238,5667961.838
Elective Inpatients,CA83A ," Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",730,5430.2297,3964067.687
Elective Inpatients,CA83B ," Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",591,5024.7603,2969633.328
Elective Inpatients,CA83C ," Major, Mouth or Throat Procedures, 18 years and under",199,6642.473,1321852.121
Elective Inpatients,CA84A ," Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",434,4613.6246,2002313.091
